year,fertility_rate
1950,5.887
1951,5.893
1952,5.902
1953,5.909
1954,5.912
1955,5.911
1956,5.908
1957,5.902
1958,5.893
1959,5.882
1960,5.87
1961,5.856
1962,5.842
1963,5.826
1964,5.807
1965,5.781
1966,5.747
1967,5.701
1968,5.642
1969,5.573
1970,5.494
1971,5.41
1972,5.323
1973,5.238
1974,5.156
1975,5.077
1976,5
1977,4.922
1978,4.843
1979,4.762
1980,4.679
1981,4.597
1982,4.515
1983,4.436
1984,4.358
1985,4.281
1986,4.203
1987,4.125
1988,4.044
1989,3.961
1990,3.878
1991,3.793
1992,3.709
1993,3.628
1994,3.549
1995,3.473
1996,3.402
1997,3.334
1998,3.269
1999,3.207
2000,3.145
2001,3.083
2002,3.018
2003,2.952
2004,2.884
2005,2.817
2006,2.753
2007,2.694
2008,2.643
2009,2.6
2010,2.563